x,y,z
6437.5,1000,429.1968022
6500,1000,418.1144111
6562.5,1000,416.2578041
6625,1000,431.2952275
6687.5,1000,439.427517
6750,1000,449.3311299
6812.5,1000,446.129004
6875,1000,444.800888
6937.5,1000,435.5158988
7000,1000,434.6957392
7062.5,1000,420.3455822
7125,1000,411.6925618
7187.5,1000,408.5665222
7250,1000,398.4984148
7312.5,1000,391.1469518
7375,1000,385.3997602
7437.5,1000,379.2995687
7500,1000,362.6556419
7562.5,1000,359.6045362
7625,1000,357.3440299
7687.5,1000,341.3931957
7750,1000,335.4912875
7812.5,1000,339.0425144
7875,1000,345.2476505
7937.5,1000,342.8384254
8000,1000,342.7043014
8062.5,1000,336.2338161
8125,1000,323.0841915
8187.5,1000,315.9775194
8250,1000,311.4395145
8312.5,1000,297.0849494
8375,1000,286.3270296
8437.5,1000,287.3206908
8500,1000,285.0958321
8562.5,1000,270.4129152
8625,1000,256.8846219
8687.5,1000,243.0447992
8750,1000,229.8583788
8812.5,1000,218.8105782
8875,1000,219.0837285
8937.5,1000,212.5705985
9000,1000,200
1000,1062.5,42.74543476
1062.5,1062.5,54.50334938
1125,1062.5,57.58537591
1187.5,1062.5,63.59970798
1250,1062.5,76.60209002
1312.5,1062.5,82.63747434
1375,1062.5,84.55040028
1437.5,1062.5,96.59772111
1500,1062.5,108.1695003
1562.5,1062.5,119.5967073
1625,1062.5,132.0523886
1687.5,1062.5,143.904279
1750,1062.5,146.351584
1812.5,1062.5,153.8350339
1875,1062.5,167.5321474
1937.5,1062.5,172.0040563
2000,1062.5,181.4339544
2062.5,1062.5,205.5147624
2125,1062.5,212.5625533
2187.5,1062.5,224.0440139
2250,1062.5,238.8572232
2312.5,1062.5,244.5925707
2375,1062.5,261.7094614
2437.5,1062.5,281.2402585
2500,1062.5,296.3963952
2562.5,1062.5,300.9001109
2625,1062.5,306.1181602
2687.5,1062.5,309.1212156
2750,1062.5,309.7505267
2812.5,1062.5,315.7132381
2875,1062.5,336.5477853
2937.5,1062.5,343.7972923
3000,1062.5,341.5338426
3062.5,1062.5,344.7765528
3125,1062.5,335.5720641
3187.5,1062.5,333.0992157
3250,1062.5,333.6450182
3312.5,1062.5,319.1234199
3375,1062.5,322.1818266
3437.5,1062.5,321.5254385
3500,1062.5,316.8333877
3562.5,1062.5,311.5770636
3625,1062.5,306.230459
3687.5,1062.5,294.4490467
3750,1062.5,286.0439014
3812.5,1062.5,290.4384443
3875,1062.5,295.6974137
3937.5,1062.5,294.201975
4000,1062.5,300.6680643
4062.5,1062.5,315.6362155
4125,1062.5,329.1375507
4187.5,1062.5,334.0621842
4250,1062.5,333.1629128
4312.5,1062.5,343.7373904
4375,1062.5,352.7789465
4437.5,1062.5,355.8922456
4500,1062.5,368.7834995
4562.5,1062.5,374.2268605
4625,1062.5,369.1983019
4687.5,1062.5,369.9043005
4750,1062.5,379.8666865
4812.5,1062.5,391.7858746
4875,1062.5,386.461459
4937.5,1062.5,396.1056725
5000,1062.5,395.5030578
5062.5,1062.5,404.0714862
5125,1062.5,403.6739613
5187.5,1062.5,404.1044497
5250,1062.5,396.188838
5312.5,1062.5,395.761228
5375,1062.5,398.6714461
5437.5,1062.5,410.5070267
5500,1062.5,421.3922458
5562.5,1062.5,434.5325055
5625,1062.5,439.904164
5687.5,1062.5,434.9724494
5750,1062.5,436.6153775
5812.5,1062.5,436.3143696
5875,1062.5,437.3713353
5937.5,1062.5,441.8408703
6000,1062.5,442.9828752
6062.5,1062.5,435.2266462
6125,1062.5,441.3490062
6187.5,1062.5,447.6020963
6250,1062.5,456.2896526
6312.5,1062.5,453.5732017
6375,1062.5,445.1139482
6437.5,1062.5,437.7012937
6500,1062.5,423.3312873
6562.5,1062.5,431.2810528
6625,1062.5,437.5101762
6687.5,1062.5,444.3023722
6750,1062.5,450.734433
6812.5,1062.5,444.332641
6875,1062.5,443.5270836
6937.5,1062.5,434.2189923
7000,1062.5,429.6039868
7062.5,1062.5,419.2879126
7125,1062.5,410.5996137
7187.5,1062.5,411.5133829
7250,1062.5,399.2479043
7312.5,1062.5,389.1390171
7375,1062.5,386.0555199
7437.5,1062.5,375.5182974
7500,1062.5,368.098246
7562.5,1062.5,356.7301692
7625,1062.5,359.678248
7687.5,1062.5,350.2487569
7750,1062.5,344.5525124
7812.5,1062.5,343.2315027
7875,1062.5,354.4107997
7937.5,1062.5,358.0555887
8000,1062.5,363.0362974
8062.5,1062.5,348.3612003
8125,1062.5,329.3797062
8187.5,1062.5,320.621004
8250,1062.5,315.443306
8312.5,1062.5,300.3706945
8375,1062.5,289.9820368
8437.5,1062.5,296.9680666
8500,1062.5,298.1570892
8562.5,1062.5,279.4255875
8625,1062.5,260.7250326
8687.5,1062.5,244.3753325
8750,1062.5,228.5542607
8812.5,1062.5,220.0811281
8875,1062.5,224.4175385
8937.5,1062.5,209.3200546
9000,1062.5,197.9489828
1000,1125,39.88428855
1062.5,1125,59.73305269
1125,1125,66.52208089
1187.5,1125,78.82436629
1250,1125,91.61418432
1312.5,1125,96.4449502
1375,1125,91.75340633
1437.5,1125,103.6871297
1500,1125,110.8385776
1562.5,1125,126.5876921
1625,1125,137.4672006
1687.5,1125,136.834247
1750,1125,145.7457272
1812.5,1125,157.5003803
1875,1125,177.589184
1937.5,1125,185.5597995
2000,1125,184.5640332
2062.5,1125,200.5115179
2125,1125,216.0286015
2187.5,1125,231.9018115
2250,1125,251.4279934
2312.5,1125,263.4499528
2375,1125,271.0369313
2437.5,1125,290.4237024
2500,1125,299.4504964
2562.5,1125,304.312705
2625,1125,306.9382703
2687.5,1125,314.239606
2750,1125,310.9311325
2812.5,1125,316.0529266
2875,1125,326.7716617
2937.5,1125,333.5415757
3000,1125,344.634455
3062.5,1125,337.3697512
3125,1125,335.6689818
3187.5,1125,335.3537227
3250,1125,336.664109
3312.5,1125,327.7524071
3375,1125,326.4513417
3437.5,1125,328.6799252
3500,1125,318.307258
3562.5,1125,308.6293849
3625,1125,305.4506188
3687.5,1125,297.5660004
3750,1125,287.845618
3812.5,1125,286.2228111
3875,1125,290.117603
3937.5,1125,296.2596848
4000,1125,303.7471118
4062.5,1125,322.2405742
4125,1125,340.5396297
4187.5,1125,343.5833091
4250,1125,345.0899427
4312.5,1125,354.032671
4375,1125,364.6011607
4437.5,1125,365.6940231
4500,1125,373.2706341
4562.5,1125,383.1783653
4625,1125,390.9052704
4687.5,1125,392.3139563
4750,1125,400.9380697
4812.5,1125,399.3293166
4875,1125,402.0082643
4937.5,1125,409.2690343
5000,1125,411.240625
5062.5,1125,411.6744267
5125,1125,413.991256
5187.5,1125,405.5431037
5250,1125,395.256525
5312.5,1125,395.4461181
5375,1125,397.5954821
5437.5,1125,415.0700201
5500,1125,432.3728368
5562.5,1125,445.6205847
5625,1125,449.0945969
5687.5,1125,445.4346691
5750,1125,448.7306872
5812.5,1125,444.8756879
5875,1125,431.4401981
5937.5,1125,439.7941225
6000,1125,441.6009474
6062.5,1125,442.7691498
6125,1125,439.878657
6187.5,1125,448.5179369
6250,1125,459.8673472
6312.5,1125,454.6836597
6375,1125,451.7155311
6437.5,1125,440.0330537
6500,1125,424.5299713
6562.5,1125,436.8791888
6625,1125,444.3699943
6687.5,1125,448.6960846
6750,1125,447.9688266
6812.5,1125,438.2908487
6875,1125,432.9168702
6937.5,1125,428.5170153
7000,1125,427.2265267
7062.5,1125,418.253783
7125,1125,412.8147857
7187.5,1125,403.7962253
7250,1125,393.9403456
7312.5,1125,389.2765902
7375,1125,385.0207594
7437.5,1125,378.3239911
7500,1125,367.5228831
7562.5,1125,358.9920536
7625,1125,356.7354047
7687.5,1125,350.9367605
7750,1125,355.6462674
7812.5,1125,353.9134664
7875,1125,357.8951736
7937.5,1125,370.8316787
8000,1125,373.0332885
8062.5,1125,355.7550346
8125,1125,346.2784363
8187.5,1125,331.2704224
8250,1125,321.1784611
8312.5,1125,308.1507336
8375,1125,300.9831885
8437.5,1125,304.7555759
8500,1125,298.7561
8562.5,1125,285.1923737
8625,1125,268.5017618
8687.5,1125,244.9478264
8750,1125,230.6142315
8812.5,1125,227.5236586
8875,1125,219.742291
8937.5,1125,210.1477835
9000,1125,200.4997067
1000,1187.5,47.45725965
1062.5,1187.5,60.1221171
1125,1187.5,66.34391096
1187.5,1187.5,90.6708515
1250,1187.5,106.5056297
1312.5,1187.5,101.7413425
1375,1187.5,96.93273151
1437.5,1187.5,109.0525003
1500,1187.5,117.9687414
1562.5,1187.5,127.6788785
1625,1187.5,143.4707548
1687.5,1187.5,139.0786677
1750,1187.5,143.1225103
1812.5,1187.5,154.295516
1875,1187.5,171.1886776
1937.5,1187.5,170.8744282
2000,1187.5,184.2583274
2062.5,1187.5,203.3280182
2125,1187.5,221.5969878
2187.5,1187.5,240.2306973
2250,1187.5,256.4985012
2312.5,1187.5,272.8971441
2375,1187.5,273.626202
2437.5,1187.5,296.6434483
2500,1187.5,303.7673718
2562.5,1187.5,307.675545
2625,1187.5,315.4446158
2687.5,1187.5,318.2352
2750,1187.5,316.0640061
2812.5,1187.5,322.0776061
2875,1187.5,328.6420771
2937.5,1187.5,334.0545612
3000,1187.5,336.2833716
3062.5,1187.5,338.6287333
3125,1187.5,336.3032591
3187.5,1187.5,339.451288
3250,1187.5,334.0842495
3312.5,1187.5,330.3958592
3375,1187.5,328.043353
3437.5,1187.5,322.1025264
3500,1187.5,312.6903875
3562.5,1187.5,309.7625805
3625,1187.5,302.3856478
3687.5,1187.5,299.5558431
3750,1187.5,291.681339
3812.5,1187.5,290.0040418
3875,1187.5,292.5918262
3937.5,1187.5,302.559215
4000,1187.5,308.3934854
4062.5,1187.5,321.7893245
4125,1187.5,341.8592535
4187.5,1187.5,351.995977
4250,1187.5,361.8735521
4312.5,1187.5,365.1042355
4375,1187.5,377.8861359
4437.5,1187.5,374.4620981
4500,1187.5,382.2794489
4562.5,1187.5,396.5730677
4625,1187.5,400.7832276
4687.5,1187.5,409.1460244
4750,1187.5,415.9781859
4812.5,1187.5,412.7505235
4875,1187.5,408.4237917
4937.5,1187.5,413.6353185
5000,1187.5,412.063717
5062.5,1187.5,417.5451437
5125,1187.5,415.2314156
5187.5,1187.5,407.9227461
5250,1187.5,394.837659
5312.5,1187.5,401.5489645
5375,1187.5,409.8131341
5437.5,1187.5,419.9577131
5500,1187.5,433.3395532
5562.5,1187.5,447.0598978
5625,1187.5,444.0595341
5687.5,1187.5,449.453649
5750,1187.5,453.7809281
5812.5,1187.5,443.7031311
5875,1187.5,439.5380728
5937.5,1187.5,446.4262632
6000,1187.5,451.3219773
6062.5,1187.5,449.1560666
6125,1187.5,457.8557513
6187.5,1187.5,457.8240013
6250,1187.5,458.3364485
6312.5,1187.5,461.7072473
6375,1187.5,456.4535955
6437.5,1187.5,441.9174852
6500,1187.5,428.3740399
6562.5,1187.5,435.6992875
6625,1187.5,438.0392729
6687.5,1187.5,443.8041836
6750,1187.5,454.3223003
6812.5,1187.5,440.8952629
6875,1187.5,429.1311085
6937.5,1187.5,422.1132782
7000,1187.5,420.7486797
7062.5,1187.5,416.5866101
7125,1187.5,402.7875104
7187.5,1187.5,403.0200529
7250,1187.5,398.6847903
7312.5,1187.5,397.9565538
7375,1187.5,394.5101687
7437.5,1187.5,381.3065183
7500,1187.5,372.2979754
7562.5,1187.5,363.4424572
7625,1187.5,355.5250929
7687.5,1187.5,350.1030928
7750,1187.5,352.6780261
7812.5,1187.5,363.8039812
7875,1187.5,369.5257671
7937.5,1187.5,377.4663473
8000,1187.5,384.6279914
8062.5,1187.5,370.9536899
8125,1187.5,356.0551834
8187.5,1187.5,341.9474251
8250,1187.5,334.4749236
8312.5,1187.5,320.6909121
8375,1187.5,315.339599
8437.5,1187.5,307.4415619
8500,1187.5,301.3377135
8562.5,1187.5,288.2411595
8625,1187.5,273.3993219
8687.5,1187.5,252.2460899
8750,1187.5,238.2311357
8812.5,1187.5,230.0285348
8875,1187.5,221.998117
8937.5,1187.5,212.4557524
9000,1187.5,194.8624842
1000,1250,54.28854405
1062.5,1250,65.93651523
1125,1250,72.17503171
1187.5,1250,99.59693672
1250,1250,121.6908208
1312.5,1250,117.1575403
1375,1250,111.9432294
1437.5,1250,114.6992368
1500,1250,123.5905341
1562.5,1250,130.7395689
1625,1250,140.5940246
1687.5,1250,140.6752177
1750,1250,149.1824897
1812.5,1250,152.9237677
1875,1250,156.0642696
1937.5,1250,155.6522596
2000,1250,173.9565176
2062.5,1250,198.8961346
2125,1250,223.5911693
2187.5,1250,239.0748014
2250,1250,254.1766223
2312.5,1250,265.9528151
2375,1250,276.3112632
2437.5,1250,293.1052172
2500,1250,309.8458082
2562.5,1250,313.5313472
2625,1250,320.112287
2687.5,1250,320.0374566
2750,1250,321.8702154
2812.5,1250,321.1395141
2875,1250,324.3324117
2937.5,1250,323.060191
3000,1250,327.4265015
3062.5,1250,332.0620203
3125,1250,338.2199871
3187.5,1250,341.2838389
3250,1250,336.7810109
3312.5,1250,329.0051082
3375,1250,327.1315199
3437.5,1250,322.1821211
3500,1250,315.9854987
3562.5,1250,313.2846341
3625,1250,296.4034011
3687.5,1250,298.5635554
3750,1250,297.1524522
3812.5,1250,296.9363442
3875,1250,301.9506978
3937.5,1250,309.333863
4000,1250,312.934643
4062.5,1250,331.768991
4125,1250,349.9969367
4187.5,1250,360.7169376
4250,1250,374.5379483
4312.5,1250,375.1330121
4375,1250,383.6993175
4437.5,1250,386.0601229
4500,1250,397.805193
4562.5,1250,405.8775972
4625,1250,408.5126611
4687.5,1250,416.5039832
4750,1250,429.3192894
4812.5,1250,423.7091903
4875,1250,422.1221429
4937.5,1250,426.2131971
5000,1250,421.0150347
5062.5,1250,422.4022686
5125,1250,422.4092216
5187.5,1250,412.2535097
5250,1250,405.4181713
5312.5,1250,410.8661035
5375,1250,420.2163241
5437.5,1250,427.3391996
5500,1250,432.0593511
5562.5,1250,436.9300766
5625,1250,436.2668657
5687.5,1250,443.1889253
5750,1250,444.4972637
5812.5,1250,449.5543057
5875,1250,446.0189101
5937.5,1250,454.9395558
6000,1250,468.394133
6062.5,1250,458.8837651
6125,1250,461.6055676
6187.5,1250,463.6423866
6250,1250,467.3303416
6312.5,1250,463.8018794
6375,1250,456.8757996
6437.5,1250,447.1113019
6500,1250,436.4114986
6562.5,1250,429.6960745
6625,1250,436.8249575
6687.5,1250,436.9190182
6750,1250,449.7761916
6812.5,1250,440.737222
6875,1250,425.1575853
6937.5,1250,424.6649275
7000,1250,419.7938928
7062.5,1250,413.1399827
7125,1250,404.3725931
7187.5,1250,398.4654
7250,1250,392.30933
7312.5,1250,389.1029513
7375,1250,387.0277654
7437.5,1250,380.1585269
7500,1250,380.209711
7562.5,1250,362.3152453
7625,1250,349.5505396
7687.5,1250,352.2482762
7750,1250,354.2349295
7812.5,1250,369.53488
7875,1250,389.5766288
7937.5,1250,390.5402216
8000,1250,393.1781707
8062.5,1250,378.3412791
8125,1250,362.3844359
8187.5,1250,350.3332223
8250,1250,336.9037639
8312.5,1250,333.5780554
8375,1250,324.8013885
8437.5,1250,318.6790265
8500,1250,309.5365412
8562.5,1250,292.4221975
8625,1250,283.8340217
8687.5,1250,263.3618917
8750,1250,239.2991078
8812.5,1250,231.9008519
8875,1250,222.3599134
8937.5,1250,210.7597169
9000,1250,195.8586452
1000,1312.5,57.86849517
1062.5,1312.5,68.56308828
1125,1312.5,89.23450202
1187.5,1312.5,106.8944264
1250,1312.5,124.3971912
1312.5,1312.5,115.8739574
1375,1312.5,114.6990598
1437.5,1312.5,123.9336377
1500,1312.5,137.8342366
1562.5,1312.5,137.5405188
1625,1312.5,148.4911249
1687.5,1312.5,158.1180137
1750,1312.5,158.8329595
1812.5,1312.5,156.2944892
1875,1312.5,166.0401007
1937.5,1312.5,179.2923304
2000,1312.5,182.432851
2062.5,1312.5,210.8211536
2125,1312.5,223.5650948
2187.5,1312.5,241.9314564
2250,1312.5,259.1300869
2312.5,1312.5,263.7074242
2375,1312.5,274.1431519
2437.5,1312.5,294.0313768
2500,1312.5,309.4548068
2562.5,1312.5,309.5329106
2625,1312.5,319.0818908
2687.5,1312.5,322.3100069
2750,1312.5,312.9179974
2812.5,1312.5,307.0748536
2875,1312.5,311.2306068
2937.5,1312.5,320.5782792
3000,1312.5,329.3986768
3062.5,1312.5,332.2058716
3125,1312.5,327.0981761
3187.5,1312.5,330.9112712
3250,1312.5,326.7123047
3312.5,1312.5,317.1691403
3375,1312.5,317.6846381
3437.5,1312.5,322.7755359
3500,1312.5,317.9037819
3562.5,1312.5,310.4883503
3625,1312.5,297.9079269
3687.5,1312.5,299.2220924
3750,1312.5,298.5022614
3812.5,1312.5,307.0509091
3875,1312.5,319.1092388
3937.5,1312.5,326.7945054
4000,1312.5,332.7140989
4062.5,1312.5,346.9852132
4125,1312.5,365.5396175
4187.5,1312.5,378.1974285
4250,1312.5,381.1696286
4312.5,1312.5,389.0458696
4375,1312.5,390.474242
4437.5,1312.5,402.3552475
4500,1312.5,416.7276127
4562.5,1312.5,423.292877
4625,1312.5,419.3704447
4687.5,1312.5,421.7313883
4750,1312.5,431.2077278
4812.5,1312.5,437.480635
4875,1312.5,431.50791
4937.5,1312.5,434.0890684
5000,1312.5,434.4591398
5062.5,1312.5,433.5349051
5125,1312.5,433.0976621
5187.5,1312.5,428.8283255
5250,1312.5,421.0442119
5312.5,1312.5,429.0909531
5375,1312.5,426.7762727
5437.5,1312.5,436.2928111
5500,1312.5,445.4126162
5562.5,1312.5,444.1176543
5625,1312.5,441.3050012
5687.5,1312.5,448.6040041
5750,1312.5,453.3872076
5812.5,1312.5,461.3252158
5875,1312.5,460.7965349
5937.5,1312.5,468.0834462
6000,1312.5,482.8134605
6062.5,1312.5,472.4712815
6125,1312.5,460.8279619
6187.5,1312.5,469.8244395
6250,1312.5,466.4238276
6312.5,1312.5,454.6296176
6375,1312.5,453.0610996
6437.5,1312.5,446.3099873
6500,1312.5,440.2018893
6562.5,1312.5,435.8077739
6625,1312.5,442.7187958
6687.5,1312.5,443.3370742
6750,1312.5,446.5351703
6812.5,1312.5,432.6506405
6875,1312.5,418.0460829
6937.5,1312.5,419.9998304
7000,1312.5,422.3127149
7062.5,1312.5,415.8813134
7125,1312.5,408.5550227
7187.5,1312.5,407.2110852
7250,1312.5,400.6092906
7312.5,1312.5,396.9487941
7375,1312.5,393.6091698
7437.5,1312.5,397.8504
7500,1312.5,393.8879059
7562.5,1312.5,379.2942079
7625,1312.5,365.1718794
7687.5,1312.5,366.1380616
7750,1312.5,362.9220593
7812.5,1312.5,377.8765414
7875,1312.5,392.2912798
7937.5,1312.5,393.1824459
8000,1312.5,396.7526798
8062.5,1312.5,380.6202398
8125,1312.5,373.3516918
8187.5,1312.5,356.6685118
8250,1312.5,348.8242706
8312.5,1312.5,338.3410753
8375,1312.5,328.9501395
8437.5,1312.5,325.5287375
8500,1312.5,322.3721625
8562.5,1312.5,307.9943972
8625,1312.5,294.7418143
8687.5,1312.5,266.313326
8750,1312.5,246.0049968
8812.5,1312.5,231.1789685
8875,1312.5,226.3049126
8937.5,1312.5,212.5527899
9000,1312.5,197.6843341
1000,1375,68.18383788
1062.5,1375,81.88014501
1125,1375,98.55816352
1187.5,1375,114.4939038
1250,1375,123.4546358
1312.5,1375,123.2162105
1375,1375,126.7858268
1437.5,1375,130.9377221
1500,1375,144.6893174
1562.5,1375,149.8481931
1625,1375,158.2130117
1687.5,1375,164.5575751
1750,1375,165.9088184
1812.5,1375,172.6660322
1875,1375,171.4538378
1937.5,1375,182.5272362
2000,1375,190.8277832
2062.5,1375,211.8758453
2125,1375,236.98073
2187.5,1375,246.3346323
2250,1375,262.8113548
2312.5,1375,271.2236089
2375,1375,281.0013576
2437.5,1375,290.6911725
2500,1375,307.7574231
2562.5,1375,310.6208642
2625,1375,310.8066587
2687.5,1375,310.0765292
2750,1375,303.3283706
2812.5,1375,300.7009985
2875,1375,305.2054337
2937.5,1375,314.4612713
3000,1375,319.3292243
3062.5,1375,319.0633828
3125,1375,308.8252787
3187.5,1375,307.269282
3250,1375,316.8877504
3312.5,1375,309.2519133
3375,1375,309.4573362
3437.5,1375,311.8193906
3500,1375,310.2959773
3562.5,1375,302.3265552
3625,1375,303.4923451
3687.5,1375,308.9138501
3750,1375,309.7340443
3812.5,1375,318.1483138
3875,1375,329.9988361
3937.5,1375,338.9080259
4000,1375,346.7722769
4062.5,1375,359.8012094
4125,1375,375.0502117
4187.5,1375,381.4651687
4250,1375,387.6570554
4312.5,1375,394.5186243
4375,1375,403.8157401
4437.5,1375,416.6761267
4500,1375,431.1042658
4562.5,1375,436.0323125
4625,1375,431.2322641
4687.5,1375,432.6577062
4750,1375,434.16949
4812.5,1375,440.608264
4875,1375,439.0530778
4937.5,1375,441.1536535
5000,1375,448.6689288
5062.5,1375,452.1643723
5125,1375,447.7596983
5187.5,1375,440.9933256
5250,1375,431.6094083
5312.5,1375,438.9759034
5375,1375,443.3076669
5437.5,1375,448.3719516
5500,1375,452.9287771
5562.5,1375,458.0522988
5625,1375,455.9199464
5687.5,1375,469.2628095
5750,1375,466.3091263
5812.5,1375,466.5623819
5875,1375,472.523658
5937.5,1375,476.0031668
6000,1375,483.3898601
6062.5,1375,480.9861612
6125,1375,471.2395201
6187.5,1375,469.506109
6250,1375,468.6047857
6312.5,1375,451.468928
6375,1375,441.2470959
6437.5,1375,441.4014396
6500,1375,440.594114
6562.5,1375,446.8398502
6625,1375,448.8356787
6687.5,1375,444.3560943
6750,1375,438.3026362
6812.5,1375,424.753457
6875,1375,419.7198703
6937.5,1375,418.5568168
7000,1375,423.4562937
7062.5,1375,410.3999309
7125,1375,406.3494452
7187.5,1375,400.5359801
7250,1375,401.6074684
7312.5,1375,398.521313
7375,1375,401.4093692
7437.5,1375,399.4021882
7500,1375,399.6858904
7562.5,1375,382.850826
7625,1375,377.1904249
7687.5,1375,380.4029107
7750,1375,380.2448939
7812.5,1375,379.2607893
7875,1375,387.0183673
7937.5,1375,392.4184541
8000,1375,400.4630487
8062.5,1375,387.4318612
8125,1375,375.6800798
8187.5,1375,365.1922268
8250,1375,352.3449058
8312.5,1375,343.2363269
8375,1375,338.4999917
8437.5,1375,338.9645282
8500,1375,338.8727507
8562.5,1375,316.7347245
8625,1375,295.2561382
8687.5,1375,267.7849115
8750,1375,244.7649257
8812.5,1375,232.9183856
8875,1375,227.5473301
8937.5,1375,213.517093
9000,1375,199.1709513
1000,1437.5,79.31513897
1062.5,1437.5,95.76077822
1125,1437.5,107.8185626
1187.5,1437.5,115.5943933
1250,1437.5,129.1875705
1312.5,1437.5,124.4481983
1375,1437.5,130.8254326
1437.5,1437.5,139.7685393
1500,1437.5,154.6447992
1562.5,1437.5,157.7314123
1625,1437.5,166.1253367
1687.5,1437.5,165.5554797
1750,1437.5,175.5362676
1812.5,1437.5,174.901592
1875,1437.5,173.1507966
1937.5,1437.5,184.1247907
2000,1437.5,195.6305043
2062.5,1437.5,213.5052368
2125,1437.5,238.9604731
2187.5,1437.5,246.3121274
2250,1437.5,254.9719878
2312.5,1437.5,271.2635024
2375,1437.5,280.3437048
2437.5,1437.5,290.8244074
2500,1437.5,304.0315839
2562.5,1437.5,305.1465466
2625,1437.5,302.8557627
2687.5,1437.5,304.8114313
2750,1437.5,300.6792137
2812.5,1437.5,305.5410477
2875,1437.5,301.4649011
2937.5,1437.5,313.8441095
3000,1437.5,313.5473119
3062.5,1437.5,307.8229054
3125,1437.5,304.6674351
3187.5,1437.5,307.8116401
3250,1437.5,318.5125059
3312.5,1437.5,310.968011
3375,1437.5,311.1663161
3437.5,1437.5,314.0963003
3500,1437.5,309.1454193
3562.5,1437.5,307.1125002
3625,1437.5,306.2075092
3687.5,1437.5,308.0965884
3750,1437.5,315.7236465
3812.5,1437.5,327.254571
3875,1437.5,339.4624503
3937.5,1437.5,350.2375168
4000,1437.5,360.950725
4062.5,1437.5,377.1209466
4125,1437.5,380.5632721
4187.5,1437.5,384.085316
4250,1437.5,395.729795
4312.5,1437.5,406.6505378
4375,1437.5,421.5691171
4437.5,1437.5,438.9631935
4500,1437.5,440.9061418
4562.5,1437.5,444.0201912
4625,1437.5,439.4056667
4687.5,1437.5,447.9628271
4750,1437.5,445.6964503
4812.5,1437.5,454.7667837
4875,1437.5,458.3005903
4937.5,1437.5,467.92308
5000,1437.5,472.1780002
5062.5,1437.5,460.0146853
5125,1437.5,459.4883805
5187.5,1437.5,451.2939194
5250,1437.5,441.5664461
5312.5,1437.5,452.5911081
5375,1437.5,459.0189592
5437.5,1437.5,460.1426897
5500,1437.5,459.6563168
5562.5,1437.5,462.2394631
5625,1437.5,467.3528063
5687.5,1437.5,470.2205332
5750,1437.5,466.2304352
5812.5,1437.5,473.1562889
5875,1437.5,481.3188834
5937.5,1437.5,481.2004042
6000,1437.5,487.7323329
6062.5,1437.5,482.8507787
6125,1437.5,471.159308
6187.5,1437.5,465.3258237
6250,1437.5,463.3274169
6312.5,1437.5,452.3173279
6375,1437.5,444.0387452
6437.5,1437.5,439.509551
6500,1437.5,439.2722988
6562.5,1437.5,437.9946218
6625,1437.5,439.0017445
6687.5,1437.5,438.6691401
6750,1437.5,431.3774446
6812.5,1437.5,423.7941982
6875,1437.5,413.1824649
6937.5,1437.5,415.0206695
7000,1437.5,419.502649
7062.5,1437.5,407.4085775
7125,1437.5,406.0668584
7187.5,1437.5,405.4775032
7250,1437.5,406.9389617
7312.5,1437.5,409.1846344
7375,1437.5,408.1064945
7437.5,1437.5,406.3428069
7500,1437.5,408.55685
